# column 0 is pixels, column 1 is signal
5.200000000000000000e+01,1.126302083333333426e-01
5.300000000000000000e+01,9.179687500000000000e-02
5.400000000000000000e+01,6.542968749999998612e-02
5.500000000000000000e+01,5.957031249999998612e-02
5.600000000000000000e+01,6.542968749999998612e-02
5.700000000000000000e+01,1.181640625000000000e-01
5.800000000000000000e+01,7.779947916666667129e-02
5.900000000000000000e+01,7.975260416666665741e-02
6.000000000000000000e+01,1.204427083333333287e-01
6.100000000000000000e+01,7.454427083333334259e-02
6.200000000000000000e+01,1.031901041666666574e-01
6.300000000000000000e+01,1.367187500000000000e-01
6.400000000000000000e+01,7.845052083333332871e-02
6.500000000000000000e+01,9.505208333333332871e-02
6.600000000000000000e+01,1.324869791666666574e-01
6.700000000000000000e+01,8.854166666666668517e-02
6.800000000000000000e+01,9.212239583333332871e-02
6.900000000000000000e+01,8.984375000000000000e-02
7.000000000000000000e+01,1.132812500000000000e-01
7.100000000000000000e+01,8.040364583333332871e-02
7.200000000000000000e+01,8.951822916666665741e-02
7.300000000000000000e+01,6.054687499999998612e-02
7.400000000000000000e+01,5.924479166666667129e-02
7.500000000000000000e+01,9.309895833333332871e-02
7.600000000000000000e+01,1.064453124999999861e-01
7.700000000000000000e+01,7.128906250000000000e-02
7.800000000000000000e+01,8.365885416666668517e-02
7.900000000000000000e+01,7.812499999999998612e-02
8.000000000000000000e+01,6.998697916666668517e-02
8.100000000000000000e+01,1.136067708333333287e-01
8.200000000000000000e+01,1.282552083333333148e-01
8.300000000000000000e+01,6.542968750000000000e-02
8.400000000000000000e+01,6.282552083333332871e-02
8.500000000000000000e+01,7.291666666666665741e-02
8.600000000000000000e+01,7.194010416666665741e-02
8.700000000000000000e+01,5.729166666666667129e-02
8.800000000000000000e+01,3.776041666666667129e-02
8.900000000000000000e+01,4.915364583333333565e-02
9.000000000000000000e+01,7.096354166666667129e-02
9.100000000000000000e+01,9.309895833333334259e-02
9.200000000000000000e+01,6.640624999999998612e-02
9.300000000000000000e+01,2.832031250000000000e-02
9.400000000000000000e+01,7.519531250000000000e-02
9.500000000000000000e+01,5.989583333333332871e-02
9.600000000000000000e+01,5.631510416666666435e-02
9.700000000000000000e+01,5.566406250000000694e-02
9.800000000000000000e+01,4.980468750000000694e-02
9.900000000000000000e+01,7.324218750000001388e-02
1.000000000000000000e+02,5.761718750000000000e-02
1.010000000000000000e+02,1.123046875000000000e-01
1.020000000000000000e+02,3.320312499999999306e-02
1.030000000000000000e+02,3.613281250000000000e-02
1.040000000000000000e+02,9.700520833333334259e-02
1.050000000000000000e+02,1.132812500000000000e-01
1.060000000000000000e+02,1.210937499999999861e-01
1.070000000000000000e+02,9.049479166666665741e-02
1.080000000000000000e+02,1.152343749999999861e-01
1.090000000000000000e+02,9.114583333333331483e-02
1.100000000000000000e+02,7.096354166666665741e-02
1.110000000000000000e+02,9.895833333333334259e-02
1.120000000000000000e+02,7.552083333333332871e-02
1.130000000000000000e+02,3.873697916666667129e-02
1.140000000000000000e+02,5.533854166666666435e-02
1.150000000000000000e+02,7.226562500000000000e-02
1.160000000000000000e+02,3.645833333333333565e-02
1.170000000000000000e+02,2.539062500000000347e-02
1.180000000000000000e+02,3.450520833333333565e-02
1.190000000000000000e+02,1.009114583333333391e-02
1.200000000000000000e+02,1.692708333333333218e-02
1.210000000000000000e+02,3.027343750000000000e-02
1.220000000000000000e+02,2.766927083333332871e-02
1.230000000000000000e+02,4.947916666666665741e-02
1.240000000000000000e+02,5.826822916666667129e-02
1.250000000000000000e+02,2.050781250000000000e-02
1.260000000000000000e+02,3.483072916666666435e-02
1.270000000000000000e+02,3.645833333333332871e-02
1.280000000000000000e+02,5.891927083333334259e-02
1.290000000000000000e+02,4.329427083333333565e-02
1.300000000000000000e+02,4.915364583333333565e-02
1.310000000000000000e+02,2.669270833333333218e-02
1.320000000000000000e+02,2.246093750000000000e-02
1.330000000000000000e+02,4.492187500000000000e-02
1.340000000000000000e+02,4.785156250000000000e-02
1.350000000000000000e+02,4.980468750000000000e-02
1.360000000000000000e+02,4.817708333333333565e-02
1.370000000000000000e+02,3.483072916666666435e-02
1.380000000000000000e+02,4.557291666666666435e-02
1.390000000000000000e+02,5.533854166666667129e-02
1.400000000000000000e+02,4.947916666666667129e-02
1.410000000000000000e+02,4.036458333333333565e-02
1.420000000000000000e+02,7.063802083333334259e-02
1.430000000000000000e+02,9.700520833333334259e-02
1.440000000000000000e+02,6.510416666666667129e-02
1.450000000000000000e+02,5.305989583333333565e-02
1.460000000000000000e+02,4.264322916666666435e-02
1.470000000000000000e+02,4.882812500000000000e-02
1.480000000000000000e+02,9.960937500000000000e-02
1.490000000000000000e+02,8.528645833333332871e-02
1.500000000000000000e+02,1.035156249999999722e-01
1.510000000000000000e+02,5.208333333333333565e-02
1.520000000000000000e+02,3.450520833333332871e-02
1.530000000000000000e+02,4.947916666666666435e-02
1.540000000000000000e+02,4.427083333333332871e-02
1.550000000000000000e+02,5.305989583333334259e-02
1.560000000000000000e+02,6.510416666666665741e-02
