# axis 0 is time, axis 1 is Voltage
0.00000000,-0.48880639
0.02000000,-0.48913174
0.04000000,-0.48783033
0.06000000,-0.48783033
0.08000000,-0.48717962
0.10000000,-0.48555284
0.12000000,-0.48295001
0.14000000,-0.48229930
0.16000000,-0.48327536
0.18000000,-0.48197395
0.20000000,-0.48295001
0.22000000,-0.48197395
0.24000000,-0.46180198
0.26000000,-0.00175094
0.28000000,-0.46473017
0.30000000,-0.48262466
0.32000000,-0.48164859
0.34000000,-0.48099788
0.36000000,-0.48132324
0.38000000,-0.48067253
0.40000000,-0.48132324
0.42000000,-0.48099788
0.44000000,-0.48197395
0.46000000,-0.48164859
0.48000000,-0.48034718
0.50000000,-0.48099788
0.52000000,-0.48099788
0.54000000,-0.48067253
0.56000000,-0.48067253
0.58000000,-0.48034718
0.60000000,-0.48002182
0.62000000,-0.47969647
0.64000000,-0.47937111
0.66000000,-0.47969647
0.68000000,-0.47937111
0.70000000,-0.47872040
0.72000000,-0.47839505
0.74000000,-0.47872040
0.76000000,-0.47872040
0.78000000,-0.47741899
0.80000000,-0.47709363
0.82000000,-0.47741899
0.84000000,-0.47676828
0.86000000,-0.47676828
0.88000000,-0.47676828
0.90000000,-0.47644292
0.92000000,-0.47579221
0.94000000,-0.47546686
0.96000000,-0.47546686
0.98000000,-0.47546686
1.00000000,-0.47481615
1.02000000,-0.47481615
1.04000000,-0.47449080
1.06000000,-0.47384009
1.08000000,-0.47351473
1.10000000,-0.47384009
1.12000000,-0.47318938
1.14000000,-0.47286403
1.16000000,-0.47253867
1.18000000,-0.47188796
1.20000000,-0.47188796
1.22000000,-0.47188796
1.24000000,-0.47123725
1.26000000,-0.47026119
1.28000000,-0.46961048
1.30000000,-0.46961048
1.32000000,-0.46993584
1.34000000,-0.46928513
1.36000000,-0.46961048
1.38000000,-0.46895977
1.40000000,-0.46895977
1.42000000,-0.46798371
1.44000000,-0.46765836
1.46000000,-0.46765836
1.48000000,-0.46700765
1.50000000,-0.46570623
1.52000000,-0.46570623
1.54000000,-0.46668229
1.56000000,-0.46570623
1.58000000,-0.46505552
1.60000000,-0.46473017
1.62000000,-0.46473017
1.64000000,-0.46375410
1.66000000,-0.46375410
1.68000000,-0.46310340
1.70000000,-0.46375410
1.72000000,-0.46277804
1.74000000,-0.46245269
1.76000000,-0.46245269
1.78000000,-0.46017521
1.80000000,-0.46147662
1.82000000,-0.46050056
1.84000000,-0.46115127
1.86000000,-0.45984985
1.88000000,-0.45854843
1.90000000,-0.45919914
1.92000000,-0.45952450
1.94000000,-0.45919914
1.96000000,-0.45887379
1.98000000,-0.45822308
2.00000000,-0.45789773
2.02000000,-0.45757237
2.04000000,-0.45692166
2.06000000,-0.45692166
2.08000000,-0.45594560
2.10000000,-0.45562025
2.12000000,-0.45594560
2.14000000,-0.45496954
2.16000000,-0.45529489
